a,b,c,d
Sculpture Trawl,Rybinsk,Russia,"Monuments, sculptures, memorials"
Sculpture Trinity,Yaroslavl,Russia,"Monuments, sculptures, memorials"
Sculpture Tula tea,Tula,Russia,"Monuments, sculptures, memorials"
The sculptural composition Bread of our memory,Salekhard,Russia,"Monuments, sculptures, memorials"
The sculptural composition Bread of our memory,New Urengoy,Russia,"Monuments, sculptures, memorials"
The sculptural composition Bread of our memory,Gubkinskii,Russia,"Monuments, sculptures, memorials"
The sculptural composition The Man in a Case,Taganrog,Russia,"Monuments, sculptures, memorials"
Sculpture A man under an umbrella,Nyagan,Russia,"Monuments, sculptures, memorials"
Sculpture Chet stars,Yoshkar-Ola,Russia,"Monuments, sculptures, memorials"
Sculpture Electric and sparrows,Izhevsk,Russia,"Monuments, sculptures, memorials"
Sculpture Echo,Elista,Russia,"Monuments, sculptures, memorials"
The sculptural form of Eiffel Tower,Ekaterinburg,Russia,"Monuments, sculptures, memorials"
Sculptures Aksinia and Shchukar,Volgodonsk,Russia,"Monuments, sculptures, memorials"
Sculptural composition The Four Seasons,Khanty-Mansiysk,Russia,"Monuments, sculptures, memorials"
Sculptural ensemble Dzhangarchi Eelyan UGLE,Elista,Russia,"Monuments, sculptures, memorials"
Sculptural ensemble Man Reading,Noyabrsk,Russia,"Monuments, sculptures, memorials"
"Sculptural ensemble Cossacks Let us remember, brothers, about the former",Alekseevskaya,Russia,"Monuments, sculptures, memorials"
Sculptural complex Trianon,Vladivostok,Russia,"Monuments, sculptures, memorials"
Skulpturnыy complex Hatano Choirs - Choirs Princess,Xorinsk,Russia,"Monuments, sculptures, memorials"
Sculptural complex Center of Asia,red,Russia,"Monuments, sculptures, memorials"
Sculptural portrait of Alexander Pushkin Lyceum,Rossosh,Russia,"Monuments, sculptures, memorials"
soldiers boots,Star,Russia,military glory
Spassky Tower,Vyazma,Russia,architecture
Statues Industry and Sea Trade,Vyborg,Russia,"Monuments, sculptures, memorials"
The statue Aurora,Krasnodar,Russia,"Monuments, sculptures, memorials"
Statue of Buddha Shakyamuni,Elista,Russia,"Monuments, sculptures, memorials"
Statue of Sakyamuni Buddha in the village Ketchenery,Ketchenery,Russia,"Monuments, sculptures, memorials"
Statue of the Bull,Yakutsk,Russia,"Monuments, sculptures, memorials"
stele,Aksarka,Russia,"Monuments, sculptures, memorials"
Stela 100 years of Altai railroad,Barnaul,Russia,"Monuments, sculptures, memorials"
Stela 66 Parallel,Salekhard,Russia,"Monuments, sculptures, memorials"
Stela Arkhangelsk 1584-1984,Arkhangelsk,Russia,"Monuments, sculptures, memorials"
Stela East sculptural memorial project Equilibrium,Volgograd,Russia,"Monuments, sculptures, memorials"
Stela Vyazma - City of Military Glory»,Vyazma,Russia,"Monuments, sculptures, memorials"
Stela Gazprom mining Urengoy,New Urengoy,Russia,"Monuments, sculptures, memorials"
Stele City of Gubkin,Gubkinskii,Russia,"Monuments, sculptures, memorials"
Stele City of Military Glory in Yelets,Dace,Russia,"Monuments, sculptures, memorials"
Stela Novy Urengoy - city gas producers and builders,New Urengoy,Russia,"Monuments, sculptures, memorials"
Stela Romantic 70,Salekhard,Russia,"Monuments, sculptures, memorials"
Stela Russia Tuva,red,Russia,"Monuments, sculptures, memorials"
Stela wells №6,Nyagan,Russia,"Monuments, sculptures, memorials"
Stela Taz,Taz,Russia,"Monuments, sculptures, memorials"
"Stela Health, Happiness and Prosperity",Izhevsk,Russia,"Monuments, sculptures, memorials"
Stele in honor of awarding Tikhvin Order of Patriotic War I degree,Tikhvin,Russia,military glory
Stele of the founders of Vladivostok,Vladivostok,Russia,"Monuments, sculptures, memorials"
"Stele memory of soldiers-Omsk, participants of the Great Patriotic War of 1941 - 1945",Omsk,Russia,"Monuments, sculptures, memorials"
"Stele Tuvan alphabet letters?,?,?",red,Russia,"Monuments, sculptures, memorials"
wall Rodimtseva,Volgograd,Russia,"Monuments, sculptures, memorials"
The Steadfast Tin Soldier,Pinery,Russia,"Monuments, sculptures, memorials"
Stremilovsky line of defense of Moscow,Leonovo,Russia,"Monuments, sculptures, memorials"
Sphinxes in the yard of Stroganov Palace,St. Petersburg,Russia,"Monuments, sculptures, memorials"
Quay with Sphinxes,St. Petersburg,Russia,"Monuments, sculptures, memorials"
"Танк quot;Т-70quot;, первым с боем ворвавшийся в Калач-на-Дону",Kalach-on-Don,Russia,"Monuments, sculptures, memorials"
Tank Motherland,Boilermakers,Russia,"Monuments, sculptures, memorials"
T-34,great Luke,Russia,military glory
T-34,Tula,Russia,military glory
T-72 tank in Yelets,Dace,Russia,"Monuments, sculptures, memorials"
Tank Winner,St. Petersburg,Russia,"Monuments, sculptures, memorials"
The tank-monument to soldiers-countrymen who perished in the 1941-1945 Great Patriotic War years.,Ulan-Ude,Russia,"Monuments, sculptures, memorials"
Tanks in the neighborhood of concrete,Ekaterinburg,Russia,"Monuments, sculptures, memorials"
Poplar on the Square of Fallen Fighters,Volgograd,Russia,"Monuments, sculptures, memorials"
vedette,Azov,Russia,military glory
Triptych Memory Wall,Tambov,Russia,military glory
Triumphal Arch Alexander,Krasnodar,Russia,"Monuments, sculptures, memorials"
Triumphal Arch,Moscow,Russia,"Monuments, sculptures, memorials"
Military workers Murmansk,Murmansk,Russia,"Monuments, sculptures, memorials"
"Coward, Bobby and Experienced",Permian,Russia,"Monuments, sculptures, memorials"
Manor M.Shelehova,Astrakhan,Russia,"Monuments, sculptures, memorials"
ear lake Baikal,Baikalsk,Russia,"Monuments, sculptures, memorials"
Lamppost the Battle of Stalingrad,Volgograd,Russia,"Monuments, sculptures, memorials"
hill of Glory,Izborsk,Russia,military glory
The Tsar Bell,Moscow,Russia,"Monuments, sculptures, memorials"
Tsar Cannon,Moscow,Russia,"Monuments, sculptures, memorials"
Flower composition Bronze Peacock,Novorossiysk,Russia,"Monuments, sculptures, memorials"
Chizhik-Pyzhik,St. Petersburg,Russia,"Monuments, sculptures, memorials"
Chizhovski foothold,Voronezh,Russia,"Monuments, sculptures, memorials"
Cast-iron sundial,outlined,Russia,"Monuments, sculptures, memorials"
Chess board in the center of Elista,Elista,Russia,"Monuments, sculptures, memorials"
Night assault of Spassk,Spassk-Dalny,Russia,"Monuments, sculptures, memorials"
The Eiffel Tower,Permian,Russia,"Monuments, sculptures, memorials"
The Eiffel Tower,Polevskoy,Russia,"Monuments, sculptures, memorials"
Eco-park Bear Land,Kargopol,Russia,"Gardens, squares, parks"
Southern Arc de Triomphe,Elista,Russia,"Monuments, sculptures, memorials"
Alexander Column,St. Petersburg,Russia,"Monuments, sculptures, memorials"
Bust Yuri Bilibinu,Magadan,Russia,"Monuments, sculptures, memorials"
Memorial «victory»,Zabaykalsk,Russia,military glory
Memorial in honor of the portal Decembrists stay at the Petrovsky Plant,Petrovsk-Zabaykalsky,Russia,"Monuments, sculptures, memorials"
Monument Amga Sloboda,Амга,Russia,"Monuments, sculptures, memorials"
Monument Miastr Amma ,Амга,Russia,"Monuments, sculptures, memorials"
Monument AE Kulakovskii,Yakutsk,Russia,"Monuments, sculptures, memorials"
Monument to the Heroes of the Battle of Kuban,Krasnodar,Russia,"Monuments, sculptures, memorials"
The Monument to Maxim Ammosov,Yakutsk,Russia,"Monuments, sculptures, memorials"
Monument to Minin and Pozharsky,Moscow,Russia,"Monuments, sculptures, memorials"
Pamyatnik Botur Booturu,Itık-Kyuyol,Russia,"Monuments, sculptures, memorials"
monument Tsentrosibirtsam,Oljokminsk,Russia,"Monuments, sculptures, memorials"
Monument in honor of the fiftieth anniversary of the October Revolution and the fighters for it,Petrovsk-Zabaykalsky,Russia,"Monuments, sculptures, memorials"
monument hare,Yakutsk,Russia,"Monuments, sculptures, memorials"
monument tankers,Yakutsk,Russia,"Monuments, sculptures, memorials"
monument Carp,Yakutsk,Russia,"Monuments, sculptures, memorials"
Monument to the founder of Yakutsk Peter Beketov,Yakutsk,Russia,"Monuments, sculptures, memorials"
monument to first builders,Neryungri,Russia,"Monuments, sculptures, memorials"
Monument to the Fallen teachers and students of the school №1,Zabaykalsk,Russia,"Monuments, sculptures, memorials"
monument to the teacher,Yakutsk,Russia,"Monuments, sculptures, memorials"
monument Coachman,Zabaykalsk,Russia,"Monuments, sculptures, memorials"
Monument-bust of Gabriel Chiryaevu,Neryungri,Russia,"Monuments, sculptures, memorials"
Panel Decembrists in Transbaikalia,Petrovsk-Zabaykalsky,Russia,"Monuments, sculptures, memorials"
Sculpture mammoth,Yakutsk,Russia,"Monuments, sculptures, memorials"
Sculpture Twin Cities,Yakutsk,Russia,"Monuments, sculptures, memorials"
Sculpture Seeing at the front,Yakutsk,Russia,military glory
Discoveries Monument gold Aldana MP Tarabukin and VP Bertine,Loss,Russia,"Monuments, sculptures, memorials"
Sculpture Dandelions. Three Graces,Yakutsk,Russia,"Monuments, sculptures, memorials"
Alexander Palace,St. Petersburg,Russia,palaces
Anichkov Palace,St. Petersburg,Russia,palaces
Ataman Palace,Novocherkassk,Russia,palaces
Grand Peterhof Palace,Peterhof,Russia,palaces
Vorontsov Palace,St. Petersburg,Russia,palaces
Gatchina Palace,St. Petersburg,Russia,palaces
Beloselsky-Belozersky Palace,St. Petersburg,Russia,palaces
Grand Duke Alexei Palace,St. Petersburg,Russia,palaces
Palace Volkov-Yusupov,Moscow,Russia,palaces
Vicar Palace,Tobolsk,Russia,palaces
Shuvalov Palace,St. Petersburg,Russia,palaces
Palace of Oldenburg,Ramon,Russia,palaces
Peter II Palace,St. Petersburg,Russia,palaces
Palace Razumovsky,St. Petersburg,Russia,palaces
Palace of Rumyantsev,St. Petersburg,Russia,palaces
Palace of Grand Duke Nicholas Jr.,St. Petersburg,Russia,palaces
The palace of the sovereign Moldova Dimitrie Cantemir,St. Petersburg,Russia,palaces
Palace of Culture Volgogradgidrostroy and recreation park in the town of Volzhsky,Volzhsky,Russia,palaces
Catherine Palace,St. Petersburg,Russia,palaces
Yelagin Palace,St. Petersburg,Russia,palaces
Winter Palace,St. Petersburg,Russia,palaces
Stone Island Palace,St. Petersburg,Russia,palaces
Konstantinovsky Palace,Strelna,Russia,palaces
Summer Palace of Peter I,St. Petersburg,Russia,palaces
Mariinsky Palace,St. Petersburg,Russia,palaces
Menshikov Palace,St. Petersburg,Russia,palaces
Mikhailovsky Palace,St. Petersburg,Russia,palaces
The Marble Palace,St. Petersburg,Russia,palaces
Nicholas Palace,St. Petersburg,Russia,palaces
Stroganov Palace,St. Petersburg,Russia,palaces
Tauride Palace,St. Petersburg,Russia,palaces
Tver Imperial Traveling palace,Tver,Russia,palaces
Chesme Palace,St. Petersburg,Russia,palaces
Sheremetev Palace,St. Petersburg,Russia,palaces
Yusupov Palace,St. Petersburg,Russia,palaces
Yusupov palace and park estate complex,Koreiz,Russia,palaces
khans Palace,Bakhchisaray,Russia,palaces
«Shaytanskaya Pisanitsa»,October,Russia,archaeological sites
Alexandrova forest,Pereslavl,Russia,archaeological sites
Archaeological sites of the village Kamunta,Kamunta,Russia,archaeological sites
"Archaeological sites of the Neolithic, early and advanced Bronze Age",Osyntsevo,Russia,archaeological sites
Archaeological complex Belomorsk petroglyphs,Vygostrov,Russia,archaeological sites
Archaeological complex Mesgrigny,Mégrine,Russia,archaeological sites
Archaeological complex Northwest suburbs of the ancient city Kerkinitida V-III centuries BC,Yevpatoriya,Russia,archaeological sites
Archaeological complex Yustyd,Tashanta,Russia,archaeological sites
Archaeological monument Bald Mountain,Yaya,Russia,archaeological sites
Archaeological site of pike town,Sokolovka,Russia,Nature
Archaeological site of ancient settlement and Rusenihinskoe Museum eras in Rusenihe,Ruseniha,Russia,archaeological sites
Ak-Kaya Archaeological Park,Belogorsk,Russia,archaeological sites
Beach Cro-Magnon in Ust-Ishim area,Ust-Ishim,Russia,archaeological sites
Bolshetayabinskoe settlement XII-XIV centuries.,Most Tayaba,Russia,archaeological sites
Salbyksky large mound,Vertex-Bija,Russia,archaeological sites
Voznesenskoe settlement,Voznesenka,Russia,archaeological sites
Gnezdovo,Gnezdovo,Russia,archaeological sites
Mount Kulayka (Kulayskoe place of worship),Podgornoe,Russia,archaeological sites
forest Mithridates,Kerch,Russia,archaeological sites
Городище quot;Усольская осадаquot;,Soligalich,Russia,archaeological sites
hillfort Artezian,Kerch,Russia,archaeological sites
hillfort Voronich,Voronich,Russia,archaeological sites
Hillfort Mount St. John of Rila,Gorno,Russia,archaeological sites
Hillfort Duzu-Calais,Novomyhaylovskyy,Russia,archaeological sites
Settlement Ylurat,Kerch,Russia,archaeological sites
Settlement stones,Kamno,Russia,archaeological sites
Settlement nymph,Kerch,Russia,archaeological sites
hillfort Novonikolsk,Novonikolsk,Russia,archaeological sites
Ancient settlement of Ust-Polui,Salekhard,Russia,archaeological sites
Fort and the tower Adiyuh,Habez,Russia,archaeological sites
Settlement in Novopetrovky,Novopetrovka,Russia,archaeological sites
Horodyshche archaeological complex,Sandov,Russia,archaeological sites
State Archaeological Museum-Reserve Kostenki,Kostenko,Russia,archaeological sites
The village of dolmens,Gelendzhik,Russia,archaeological sites
dolmen Kapibge,Sochi,Russia,archaeological sites
Volkonsky dolmen in the valley,Sochi,Russia,archaeological sites
dolmens,Tuapse,Russia,archaeological sites
road Genghis Khan,Шанчы,Russia,archaeological sites
Ancient sites near the village Srostki,splices,Russia,archaeological sites
The ancient city of Sarai-Batu,Selitrennoe,Russia,archaeological sites
The ancient city Chichaburg,Zdvinsk,Russia,archaeological sites
Elabuga fort,Yelabuga,Russia,archaeological sites
Zolotarevskaya settlement,Золотаревка,Russia,archaeological sites
Scythian gold,red,Russia,archaeological sites
Golden Horde city Beldzhamen,Dubovka,Russia,archaeological sites
Ilinskoe settlement,İlinsko-Podomskoe,Russia,archaeological sites
ingala valley,Исетское,Russia,archaeological sites
Stone warrior Adyr-Kahn,Inya,Russia,archaeological sites
Kashin settlement,Kashin,Russia,archaeological sites
Kiinskie pisanitsa,Pereyaslavka,Russia,archaeological sites
Kleshchinsky archaeological complex,Pereslavl,Russia,archaeological sites
Kings bastion,Smolensk,Russia,archaeological sites
Kraskinoskoe settlement,Kraskino,Russia,archaeological sites
Krasnoyarovskoe settlement,Utesnoe,Russia,archaeological sites
Krasnoyarsk archaeological complex,Krasnoyarka (Utuskunskogo s / n),Russia,archaeological sites
Peasant farm Dolmen,Gelendzhik,Russia,Farmhouse
Kurgan Badger log,Vertex-Bija,Russia,archaeological sites
Kurgan Oshad,Maikop,Russia,archaeological sites
Barrow of Immortality,Bryansk,Russia,archaeological sites
Mounds Three Brothers,Sandy,Russia,archaeological sites
Lypynskoe settlement,Lipina,Russia,archaeological sites
Maloarbatskaya Pisanitsa,Abaza:,Russia,archaeological sites
Marino gorge,Исетское,Russia,Nature
Melek-Chesmensky mound,Kerch,Russia,archaeological sites
Village of Kamenka,new Brjan,Russia,archaeological sites
Steel medieval horn on the bank. Volga,Ilinka,Russia,archaeological sites
Museum Selitrennoe,Selitrennoe,Russia,archaeological sites
The museum Kara-Tobe,Saki,Russia,archaeological sites
The open air museum Chud mound,Edma,Russia,archaeological sites
Museum-Estate Nikolevskoe mound,Pinerovka,Russia,archaeological sites
Nizhne-Arkhyz settlement,Nizhniy Arkhyz,Russia,archaeological sites
Upper and Lower fort,Galich,Russia,archaeological sites
Defensive earthworks Pereslavl,Pereslavl,Russia,archaeological sites
Omsk parking,Omsk,Russia,archaeological sites
Remains of the rampart,Nizhny Novgorod,Russia,archaeological sites
Vera island,Miass,Russia,archaeological sites
Pazyryk mounds,Balıktuyul,Russia,archaeological sites
Archeology monument Ust-Sheksna» XI-XVI centuries.,Rybinsk,Russia,archaeological sites
petroglyphs Kanozero,Umba,Russia,archaeological sites
Cave city Kachi-Kalon,Bashtanovka,Russia,archaeological sites
Cave city of Tepe-Kermen,Kudrino,Russia,archaeological sites
Cave city Calais,Bakhchisaray,Russia,archaeological sites
Settlement Labytnangy 1 (Komi village),Labytnangi,Russia,archaeological sites
Shell Jurassic,Be,Russia,archaeological sites
Excavations of dinosaur in Blagoveshchensk,Blagoveshchensk,Russia,archaeological sites
Rurikovo Gorodische,Novgorod,Russia,archaeological sites
Savkina slide,SAVKIN,Russia,archaeological sites
Safronovskyy burial,Safronov,Russia,archaeological sites
Skelskie menhirs,Rodnikovskoe,Russia,archaeological sites
Staraya Ryazan,Staraya Ryazan,Russia,archaeological sites
Starytskoe settlement,old woman,Russia,archaeological sites
Sulekskaya Pisanitsa,Ustinkino,Russia,archaeological sites
Troitsky excavation,Novgorod,Russia,archaeological sites
Tourist base North miracle,Threshold,Russia,tourist camps
Urlyapovo tract,Novonikolsk,Russia,archaeological sites
Ust-Sos - open-air museum,Ust-Sos,Russia,galleries
Cliff of Stepan Razin,Belogorsk,Russia,Nature
Khumarian settlement,Humara,Russia,archaeological sites
Imperial barrow,Sentelek,Russia,archaeological sites
Tsarev mound,Volzhsky,Russia,archaeological sites
cup-shaped stones,Lac,Russia,archaeological sites
Jurchen stone turtle,Ussuriisk,Russia,archaeological sites
Chudskaya mountain,Bohochanovo,Russia,archaeological sites
Sheymin-Forest,Samburg,Russia,archaeological sites
Shirinsky Archaeological Park,Efremkino,Russia,archaeological sites
Ethno-archaeological complex The Lost World,Puhlyakovsky,Russia,archaeological sites
Yalomanskoe settlement,Kupchegen,Russia,archaeological sites
Voronezh Ventoux,Voronezh,Russia,archaeological sites
Archaeological complex in the upper reaches of the White Iyusa,Malaya Ink,Russia,archaeological sites
pisanitsa,bograd,Russia,archaeological sites
hillfort Vyshegorod,Vyshegorod,Russia,archaeological sites
Generals hillfort and ancient winery,Novootradnoe,Russia,archaeological sites
The group of archaeological sites on about. Suchu,Mariinsky,Russia,archaeological sites
National Museum Kazanovka,Kazanovka,Russia,archaeological sites
Petroglyphs Sikachi-Alyan,Sikachi-Alyan,Russia,archaeological sites
Shishkin pisanitsa,Качуг,Russia,archaeological sites
Historical and archaeological reserve Naples-Scythian,Simferopol,Russia,archaeological sites
Ahtyrka,Ahtyrka,Russia,Ruin
Barnaul silver factory,Barnaul,Russia,Ruin
Battery Mount,Vyborg,Russia,Ruin
towers Tuaeva,medicine,Russia,architecture
Dargavsky necropolis,Dargavs,Russia,Cemeteries and graveyards
Abandoned Trinity Church,Khudyakov (Zinyakovsky s / s),Russia,Ruin
Castle Fattsaevyh - Tsallaevyh,Xanaz,Russia,Ruin
The building of the brewery Prikamsky,Permian,Russia,Ruin
Having Help,Sovyetsk,Russia,architecture
fortress Trongzund,Vysotsk,Russia,Ruin
Fortress in Ust-Elegest,Ust-Elegest,Russia,defenses
Paramonovskie warehouses,Rostov-on-Don,Russia,Ruin
church of the Transfiguration,transformation,Russia,Ruin
The ruins of a Byzantine church,Sochi,Russia,Ruin
The ruins of the French factories of the XIX century,Nail,Russia,Ruin
The ruins of the mansion breeder IG Kamensky,immerse,Russia,Ruin
Transfiguration Monastery,Sevsk,Russia,Ruin
Uvek settlement,Always,Russia,Ruin
Urlyapovo tract,Novonikolsk,Russia,archaeological sites
Golitsyn Manor in the village of Murom-Prechistoye,Prechistoe,Russia,architecture
Manor Petrovo Solovovo in Andrianovke,Andrianovka,Russia,Ruin
Temple of Archangel Michael in Chernavka,Chernavka,Russia,Ruin
Church of Our Lady of Vladimir,Usolye,Russia,Ruin
Church of Elijah the Prophet,Pyantyeg,Russia,Ruin
Church of the Nativity of the Blessed Virgin Mary,Lyschichi,Russia,Ruin
The Church of the Beheading of John the Baptist,large Nikolskoye,Russia,Ruin
The headquarters of the military settlements,Celina,Russia,Ruin
A former soldier bath,Izhevsk,Russia,Ruin
The ruins of the mosque in the town of Bolgar,Bulgaria,Russia,Ruin
older Tinaki,saltwort,Russia,Ruin
Golden Buddha in datsan Rinpoche Bagsha,Ulan-Ude,Russia,places of pilgrimage
Ilyinsky temple,Sergiev Posad,Russia,places of pilgrimage
Камень quot;Божий следquot;,Dubrovo,Russia,places of pilgrimage
The cell of Father Nikolai Guryanov,Island-Zalit,Russia,places of pilgrimage
Place of Our Lady of the phenomenon in the Omsk region,Tambovka,Russia,places of pilgrimage
Tomb father Nicholas Guryanov (Zalitskogo),Island-Zalit,Russia,places of pilgrimage
Graves Three elders ,Vladimir,Russia,places of pilgrimage
Worship cross elder Nicholas Guryanov,Island-Zalit,Russia,places of pilgrimage
Forgiveness well,Sagittarius,Russia,places of pilgrimage
Holy Trinity Cathedral in the village Menyusha,Menyusha,Russia,Orthodox churches
Святой источник quot;Вавилов Долquot;,Ivanteevka,Russia,places of pilgrimage
Holy Spring Batin Key,Noskov,Russia,places of pilgrimage
Holy source flow,Shemyatino,Russia,places of pilgrimage
"Holy spring Macarius Zheltovodskogo, Unzhensky",Makarev,Russia,places of pilgrimage
Holy spring in the name of St. George the Victorious,Surshino,Russia,places of pilgrimage
Holy key Twelve Keys,Yurov,Russia,places of pilgrimage
Holy springs village Taraskovo,Taraskovo,Russia,places of pilgrimage
Adrianov Poshehonsky Monastery,Poshekhonye,Russia,monasteries
Alapaevsk monastery New Martyrs Russian,lower Sinyachikha,Russia,monasteries
Alexander Mariinsky convent,Moscow,Russia,monasteries
Alexander Nevsky Iberdsky convent,Korablino,Russia,monasteries
Alexander Nevsky Monastery Fileysky Kirov,Kirov,Russia,monasteries
Alexander Nevsky Convent in Maklakov,Taldom,Russia,monasteries
Alekseevskaya Deserts Pereslavsky Feodorovsky monastery,Novoalekseevka,Russia,monasteries
Alexis Akatov Monastery,Voronezh,Russia,monasteries
Alexis Novodevichy Convent,Arzamas,Russia,monasteries
Alexis convent,Uglich,Russia,monasteries
Aleksievsky Akatov convent,Voronezh,Russia,monasteries
Ambrose Nicholas Dudin Monastery,Teteryugino,Russia,monasteries
St. Andrews Monastery Stauropegial,Moscow,Russia,monasteries
St. Anthony Convent Krasnokholmsky,freedom,Russia,monasteries
St. Anthony monastery,Novgorod,Russia,monasteries
Antony Dymsky Monastery,red Armored car,Russia,monasteries
Arkadievsky monastery,Vyazma,Russia,monasteries
Arkhangelsk Solovetsky monastery courtyard,Arkhangelsk,Russia,monasteries
Atamanovsky All Saints Nunnery,Chita,Russia,monasteries
Achairsky monastery,Açair,Russia,monasteries
Belogorsky Resurrection Monastery,Belogorie,Russia,monasteries
Belogorsky St. Nicholas Monastery,white Mountain,Russia,monasteries
Annunciation Convent in Bezhetsk,Bezheck,Russia,monasteries
Annunciation monastery,burn,Russia,monasteries
Annunciation Monastery,Nizhny Novgorod,Russia,monasteries
Virgin-Aleksievsky Monastery,Tomsk,Russia,monasteries
Nativity Monastery Anastasov,Anastasovo,Russia,monasteries
Nativity convent,Moscow,Russia,monasteries
Nativity Monastery,Vladimir,Russia,monasteries
Virgin Jiten convent,Ostaşkov,Russia,monasteries
Bogoroditskoe Tikhon Tyuninsky convent,Tyunina,Russia,monasteries
Bogorodichno-Albazinskiy Monastery,Zeyskaya,Russia,monasteries
Bogorodichno-Christmas maiden desert,Baryatino,Russia,monasteries
Epiphany Monastery Avraamiev,Rostov,Russia,monasteries
Epiphany Alanian convent,Tamisk,Russia,monasteries
Epiphany nunnery,Uglich,Russia,monasteries
Epiphany nunnery,Uglich,Russia,monasteries
Bogoyavlensko-Anastasiin convent,Kostroma,Russia,monasteries
Boris and Gleb Monastery Novotorzhsky,Torzhok,Russia,monasteries
Borisoglebsky a monastery,Dmitrov,Russia,monasteries
Buddhist monastery Shad TChUP Ling,yggff,Russia,monasteries
Varlaamo-Khutyn Transfiguration Monastery,Khutyni,Russia,monasteries
Permission-Oyat nunnery,Dawn,Russia,monasteries
Vvedensky Nunnery,Tikhvin,Russia,monasteries
Verbilovsky monastery,Verbilovo,Russia,monasteries
Ascension Orshin convent,Orsha,Russia,monasteries
Ascension of the Holy Monastery of the Caves,Nizhny Novgorod,Russia,monasteries
Ascension Monastery,Tambov,Russia,monasteries
Voskresensky New Jerusalem Monastery,Istra,Russia,monasteries
Resurrection Novodevichy Convent,St. Petersburg,Russia,monasteries
Resurrection convent in Torzhok,Torzhok,Russia,monasteries
Resurrection Monastery,Uglich,Russia,monasteries
Resurrection Monastery,Berejok,Russia,monasteries
Highly Petrovsky Monastery,Moscow,Russia,monasteries
Vyatsky Savior-Transfiguration Novodevichy Convent,Kirov,Russia,monasteries
Mining Nicholas Monastery,Bryansk,Russia,monasteries
Gorodetsky Theodore Monastery,Gorodets,Russia,monasteries
Far Davydovsky convent,Davydovo,Russia,monasteries
Danilovsky monastery,Moscow,Russia,monasteries
Desyatinny monastery,Novgorod,Russia,monasteries
Dmitrov monastery in Kashin,Cashin,Russia,monasteries
Donskoy Monastery Stauropegial,Moscow,Russia,monasteries
Dubovskii Holy Ascension Nunnery,Dubovka,Russia,monasteries
Diocesan Monastery in honor of the Holy New Martyrs and Confessors Russian,Novosibirsk,Russia,monasteries
Female Sretensky monastery in the village of Baturino,Baturin,Russia,monasteries
Nunnery in honor of Holy Martyr Grand Duchess Elizabeth,Slavsk,Russia,monasteries
Nunnery in honor of the Mother of God Indestructible Wall,Apsheronsk,Russia,monasteries
Nunnery in honor of the Blessed Virgin Mary Sporitelnitsa bread,Sredneuralsk,Russia,monasteries
Nunnery of the Holy Royal Passion,Domnino,Russia,monasteries
Zadonsk Nativity of Our Lady Monastery,zadonsk,Russia,monasteries
Zaikonospassky monastery,Moscow,Russia,monasteries
Conception convent,Moscow,Russia,monasteries
Zverin Monastery,Novgorod,Russia,monasteries
Zemlyansky Znamensky nunnery,Stadnytsia,Russia,monasteries
Zilant monastery,Kazan,Russia,monasteries
Znamensky nunnery,Barnaul,Russia,monasteries
Znamensky nunnery,Kostroma,Russia,monasteries
Znamensky convent in Gorokhovets,Gorohovets,Russia,monasteries
Znamensky convent in Ostashkov,Ostaşkov,Russia,monasteries
Znamensky convent in Yelets,Dace,Russia,monasteries
Zolotnikovskaya Assumption desert,Zolotnikovskaya Deserts,Russia,monasteries
Iver Svyatoezerskaya desert,Mugreevsky,Russia,monasteries
Iver convent,Vyksa,Russia,monasteries
Iver monastery,Samara,Russia,monasteries
Iverskogo-Sofronieva desert,Kovacs,Russia,monasteries
John the Theologian Makarov Friary,Saransk,Russia,monasteries
John the Theologian Sursky convent,Sura,Russia,monasteries
John the Baptist nunnery,Moscow,Russia,monasteries
Ivanovsky Convent Convent in Vyazma,Vyazma,Russia,monasteries
Kazan Mother of God Monastery,Tambov,Russia,monasteries
Kazan convent. Kazan Cathedral,Yaroslavl,Russia,monasteries
Kazansky Monastery Vyshny Volochyok,Vishny Volochek,Russia,monasteries
Stone-Brodsky Holy Trinity Monastery,Broad stone,Russia,monasteries
Kiziltashsky St. Stefano Surozhsky Monastery,Krasnokamenka,Russia,monasteries
Cyril-Belozersky Monastery and Museum-Reserve,Kirillov,Russia,monasteries
Kodsky Holy Trinity Monastery.,The October,Russia,monasteries
The bell tower of the Kazan Mother of God Monastery,Tambov,Russia,monasteries
Cosmas-Damianovsky Monastery,Alushta,Russia,monasteries
Krasnoselsky John the Baptist Convent in the city of Solikamsk,Solikamsk,Russia,monasteries
Holy Cross convent,Sevsk,Russia,monasteries
Krypetsky John the Theologian Monastery,Krypetskoe 1,Russia,monasteries
Kursk Holy Trinity Convent,Kursk,Russia,monasteries
Kutuzov Hermitage of St. Seraphim Diveevo Convent,Kutuzovka,Russia,monasteries
Leohnovsky Monastery,Leohnovo,Russia,monasteries
Lihvinsky Assumption Monastery in the village Gremyacheve,Gremyachevo,Russia,monasteries
Malinowski skit,Philippovsky (Kantaurovsky s / s),Russia,monasteries
Little Seraphim Diveevo Convent,Norya,Russia,monasteries
Malskyy monastery,small,Russia,monasteries
Meshchovsk George Monastery,Meshchovsk,Russia,monasteries
Mirozhsky monastery,Pskov,Russia,monasteries
Archangel Michael Monastery,fur,Russia,monasteries
Archangel Michael Monastery in Yuryev-Polsky,Yuriev-Polsky,Russia,monasteries
